aleph system no.,dom id,author (o),author (n),other author (o),other author (n),title,title (n),metadata,edition,imprint (o),p name,p location,p year,type
014816778,lsidyv31a943a5,"goffe, thomas.","goffe, thomas",,,the tragedy of orestes [in five acts and in verse]. [electronic resource],the tragedy of orestes,[in five acts and in verse],,"london, 1633.",,london,1633,tragedy
014816792,lsidyv32c39ff0,"gould, robert.","gould, robert",,,"the rival sisters; or, the violence of love, a tragedy. [in verse.] [electronic resource]","the rival sisters; or, the violence of love, a tragedy",[in verse.],,"london : richard bentley, etc., 1696.",richard bentley etc.,london,1696,tragedy
014816804,lsidyv309847a3,"greatheed, bertie, 1759-1826.","greatheed, bertie",,,"the regent: a tragedy [in five acts, prose and verse]. [electronic resource]",the regent: a tragedy,"[in five acts, prose and verse]",,"london, 1788.",,london,1788,tragedy
014816848,lsidyv31affa01,"hayns, joseph.","hayns, joseph",,,"[a fatal mistake: or, the plot spoil'd: a tragedy, etc. [in five acts, and in verse. with portraits of the author and of i. reed, inserted]. ms. notes [by i. reed].] [electronic resource]","a fatal mistake: or, the plot spoil'd: a tragedy, etc.","[in five acts, and in verse. with portraits of the author and of i. reed, inserted]. ms. notes [by i. reed]",[another edition.],"london, 1696.",,london,1696,tragedy
014816852,lsidyv32d00429,"hemings, william, m.a., of christ church, oxford.","hemings, william","p., a.","p., a.","the fatal contract, a french tragedy [in five acts and in verse], etc. [edited by a. t. and a. p.] [electronic resource]","the fatal contract, a french tragedy","[in five acts and in verse], etc. [edited by a. t. and a. p.]",,"london : richmond gammon, 1661.",richmond gammon,london,1661,tragedy
014816903,lsidyv33531c4c,"howard, frederick, 5th earl of carlisle.","howard, frederick",,,"[the father's revenge, a tragedy [in five acts and in verse].] [electronic resource]","the father's revenge, a tragedy",[in five acts and in verse],[another edition.] with other poems.,"london : w. bulmer, 1800.",w. bulmer,london,1800,tragedy
014816914,lsidyv2ebbe798,"hurdis, james, 1763-1801","hurdis, james",,,"the favourite village, with an additional poem (the relapse), now first published, and a tragedy (sir thomas more [in five acts and in verse]). [electronic resource]","the favourite village, with an additional poem (the relapse), now first published, and a tragedy (sir thomas more)",[in five acts and in verse],,"london, 1810.",,london,1810,tragedy
014816930,lsidyv32c7187c,,,"richardson, william, professor of humanity in the university of glasgow.","richardson, william","the indians, a tragedy [in five acts and in verse. by w. richardson.] [electronic resource]","the indians, a tragedy",[in five acts and in verse. by w. richardson.],,"london, 1790.",,london,1790,tragedy
014816932,lsidyv31af01a4,,,"fitzroy, afterwards scott, james, duke of monmouth and of buccleuch.","fitzroy, afterwards scott, james","the banished duke: or, the tragedy of infortunatus [i.e. james, duke of monmouth. in five acts, and in verse]. [electronic resource]","the banished duke: or, the tragedy of infortunatus","[i.e. james, duke of monmouth. in five acts, and in verse]",,"london, 1690.",,london,1690,tragedy
014816943,lsidyv319d5296,,,,,the italian wife: a tragedy [in five acts and in verse: by t. doubleday]. [electronic resource],the italian wife: a tragedy,[in five acts and in verse: by t. doubleday],,"edinburgh and london, 1823.",and,edinburgh & london,1823,tragedy
014816950,lsidyv32cf22a5,,,"payne, henry neville.","payne, henry neville",the fatal jealousie. a tragedy [in five acts and in verse. by n. payne]. [electronic resource],the fatal jealousie. a tragedy,[in five acts and in verse. by n. payne],,"london, 1673.",,london,1673,tragedy
014816951,lsidyv3352f961 -- lsidyv36799680,"jephson, robert.","jephson, robert",,,"braganza; a tragedy [in five acts and in verse], etc. [electronic resource]","braganza; a tragedy, etc.",[in five acts and in verse],,"london, 1775.",,london,1775,tragedy
014816952,lsidyv3352fd87,"jephson, robert.","jephson, robert",,,"the count of narbonne; a tragedy [in five acts and in verse], etc. [electronic resource]","the count of narbonne; a tragedy, etc.",[in five acts and in verse],,"london, 1781.",,london,1781,tragedy
014816953,lsidyv3352fb92,"jephson, robert.","jephson, robert",,,"the law of lombardy: a tragedy [in five acts and in verse], etc. [electronic resource]","the law of lombardy: a tragedy, etc.",[in five acts and in verse],,"london, 1779.",,london,1779,tragedy
014817004,lsidyv2eb414ee,"knowles, james sheridan.","knowles, james sheridan",,,"virginius: a tragedy, in five acts [in verse], etc. [electronic resource]","virginius: a tragedy, in five acts, etc.",[in verse],,"london, 1820.",,london,1820,tragedy
014817079,lsidyv3163c1d6,"lewis, m. g. (matthew gregory), 1775-1818.","lewis,  matthew gregory",,,"adelgitha; or, the fruits of a single error. a tragedy, etc. [electronic resource]","adelgitha; or, the fruits of a single error. a tragedy, etc.",,,"london : j. f. hughes, 1806.",j. f. hughes,london,1806,tragedy
014817177,lsidyv349bab4d,"lindsay, coutts, sir, bart.","lindsay, coutts",,,boadicea: a tragedy [in five acts and verse]. [electronic resource],boadicea: a tragedy,[in five acts and verse],,"london, 1857.",,london,1857,tragedy
014817269,lsidyv338f8518,,,"sotheby, william, 1757-1833.","sotheby, william","the cambrian hero, or llewelyn the great: an historical tragedy [in five acts and in verse, by w. sotheby?]. [electronic resource]","the cambrian hero, or llewelyn the great: an historical tragedy","[in five acts and in verse, by w. sotheby?]",,"egham : privately printed, [1800?].",privately printed,egham,1800,tragedy
014817471,lsidyv3499cbfc,,,,,"the banished lord: a tragedy, in five acts [and in verse]. [electronic resource]","the banished lord: a tragedy, in five acts",[and in verse],,"london, 1842.",,london,1842,tragedy
014817542,lsidyv345d6b8c,"lower, william, sir.","lower, william","corneille, pierre, 1606-1684.","corneille, pierre","polyeuctes, or the martyr. a tragedy [in five acts and in verse, translated from corneille]. [electronic resource]","polyeuctes, or the martyr. a tragedy","[in five acts and in verse, translated from corneille]",,"london, 1655.",,london,1655,tragedy
014817740,lsidyv33530c66,"m., p., and f. (n.)","m., p., and f. n.","f., n. -- field, nathaniel, dramatist. -- massinger, philip, 1583-1640.","f., n.  field, nathaniel.  massinger, philip",the fatall dowry: a tragedy [in five acts and in verse]. written by p[hilip] m[assinger] and n[athaniel] f[ield]. [electronic resource],the fatall dowry: a tragedy,[in five acts and in verse]. written by p[hilip] m[assinger] and n[athaniel] f[ield],,"london, 1632.",,london,1632,tragedy
014817850,lsidyv30989bc5,"macdonald, andrew, author of vimonda.","macdonald, andrew",,,vimonda: a tragedy [in five acts and in verse]. [electronic resource],vimonda: a tragedy,[in five acts and in verse],,"london, 1788.",,london,1788,tragedy
014817981,lsidyv34ed2b94,"mackay, george eric.","mackay, george eric",,,nero and actéa: a tragedy. [electronic resource],nero and actéa: a tragedy,,,"london : w. heinemann, 1891.",w. heinemann,london,1891,tragedy
014818266,lsidyv3a582335,"mallet, david.","mallet, david",,,elvira: a tragedy [in five acts and in verse]. [electronic resource],elvira: a tragedy,[in five acts and in verse],,"london, 1763.",,london,1763,tragedy
014818329,lsidyv349d1cbd,"manners, george.","manners, george",,,"edgar; or, caledonian feuds. a tragedy [in five acts and in verse]. [electronic resource]","edgar; or, caledonian feuds. a tragedy",[in five acts and in verse],,"london, 1806.",,london,1806,tragedy
014818364,lsidyv349d1f7e,,,"roby, john.","roby, john","the duke of mantua, a tragedy [in five acts, in prose and verse]. by - [j. roby]. [electronic resource]","the duke of mantua, a tragedy","[in five acts, in prose and verse]. by - [j. roby]",,"london, 1823.",,london,1823,tragedy
014818367,lsidyv349d2728,,,"maturin, charles robert.","maturin, charles robert","manuel: a tragedy, in five acts [and in verse]. by the author of bertram [c. r. maturin]. [electronic resource]","manuel: a tragedy, in five acts",[and in verse]. by the author of bertram [c. r. maturin],,"london, 1817.",,london,1817,tragedy
014818427,lsidyv345cd6e0,"marlowe, christopher, 1564-1593","marlowe, christopher",,,"[the troublesome raigne and lamentable death of edward the second, king of england: with the tragicall fall of proud mortimer: and also the life and death of peirs gaveston, the great earle of cornewall, and mighty favorite of king edward the second, etc. [a tragedy, in five acts and in verse.]] [electronic resource]","the troublesome raigne and lamentable death of edward the second, king of england: with the tragicall fall of proud mortimer: and also the life and death of peirs gaveston, the great earle of cornewall, and mighty favorite of king edward the second, etc.","[a tragedy, in five acts and in verse.]",[another edition.],"london : printed for h. bell, 1622.",printed for h. bell,london,1622,tragedy
014818428,lsidyv34240dcd,"marlowe, christopher, 1564-1593","marlowe, christopher","heywood, thomas, approximately 1574-1641.","heywood, thomas","the famous tragedy of the rich jew of malta. as it was playd before the king and queene, in his majesties theatre at white-hall, etc. [electronic resource]",the famous tragedy of the rich jew of malta,"as it was playd before the king and queene, in his majesties theatre at white-hall, etc",,"london : printed by i. b. for nicholas vavasour, 1633.",printed by i. b. for nicholas vavasour,london,1633,tragedy
014818430,lsidyv34240a0b,"marlowe, christopher, 1564-1593","marlowe, christopher",,,"[tamburlaine the great, etc. [a tragedy, in five acts and in verse, by marlow.]] [electronic resource]","tamburlaine the great, etc.","[a tragedy, in five acts and in verse, by marlow.]",[another edition.],1605.,,,1605,tragedy
014818620,lsidyv3499cf05,"marston, john westland.","marston, john westland",,,the patrician's daughter. a tragedy in five acts [and in verse]. [electronic resource],the patrician's daughter. a tragedy in five acts,[and in verse],,"london, 1841.",,london,1841,tragedy
014818703,lsidyv2eb0fcf5,"mason, william, poet.","mason, william",,,"caractacus. a dramatic poem: written on the model of the ancient greek tragedy, etc. by the author of elfrida (w. mason). [electronic resource]","caractacus. a dramatic poem: written on the model of the ancient greek tragedy, etc.",by the author of elfrida (w. mason),,"london : j. knapton, 1759.",j. knapton,london,1759,tragedy
014818705,lsidyv38311b7a -- lsidyv2eb11de5,"mason, william, poet.","mason, william",,,"elfrida, a dramatic poem, written on the model of the antient greek tragedy. (letters concerning the following drama.). [electronic resource]","elfrida, a dramatic poem, written on the model of the antient greek tragedy. (letters concerning the following drama.)",,,"london, 1752.",,london,1752,tragedy
014818804,lsidyv349d29ca,"maturin, charles robert.","maturin, charles robert",,,"bertram; or, the castle of st. aldobrand; a tragedy, in five acts [and in verse]. [electronic resource]","bertram; or, the castle of st. aldobrand; a tragedy, in five acts",[and in verse],,"london, 1816.",,london,1816,tragedy
014818808,lsidyv349d3185,"maturin, charles robert.","maturin, charles robert",,,"fredolfo; a tragedy, in five acts [and in verse]. [electronic resource]","fredolfo; a tragedy, in five acts",[and in verse],,"london, 1819.",,london,1819,tragedy
014818944,lsidyv345af8a8,"meilan, mark anthony.","meilan, mark anthony",,,emilia. a tragedy. [in verse.] [electronic resource],emilia. a tragedy,[in verse.],,"london : printed for the author, [1771.].",printed for the author,london,1771,tragedy
014818945,lsidyv31b04108,"meilan, mark anthony.","meilan, mark anthony",,,northumberland. a tragedy [in five acts and in verse]. [electronic resource],northumberland. a tragedy,[in five acts and in verse],,"london, [1771.]",,london,1771,tragedy
014819044,lsidyv3492ce40,"merivale, herman charles, 1839-1906.","merivale, herman charles",,,"florien [electronic resource] : a tragedy in five acts, and other poems.","florien  : a tragedy in five acts, and other poems",,,"london; aberdeen [printed] : remington & co., 1884.",remington & co.,london,1884,tragedy
014819070,lsidyv3a582e91,"merry, robert, poet.","merry, robert",,,"lorenzo, a tragedy in five acts [in verse], etc. [electronic resource]","lorenzo, a tragedy in five acts, etc.",[in verse],,"london, 1791.",,london,1791,tragedy
014819075,lsidyv31923839,"metastasio, pietro, 1698-1782.","metastasio, pietro","hamilton, charles, captain.","hamilton, charles, captain","the patriot, a tragedy [in five acts and in verse]. altered from the italian [of the “temistocle”] of metastasio [by c. hamilton]. [electronic resource]","the patriot, a tragedy",[in five acts and in verse]. altered from the italian [of the “temistocle”] of metastasio [by c. hamilton],,"london, [1784.]",,london,1784,tragedy
014819108,lsidyv341f4cb9,"mickle, william julius, translator of “the lusiad.”.","mickle, william julius","lyttelton, thomas, baron lyttelton.","lyttelton, thomas","poems, and a tragedy. (the siege of marseilles [in five acts, and in verse]. anecdotes of mr. mickle, with letters from lord lyttelton.). [electronic resource]","poems, and a tragedy. (the siege of marseilles)","[in five acts, and in verse]. anecdotes of mr. mickle, with letters from lord lyttelton",,"london, 1794.",,london,1794,tragedy
014819213,lsidyv34935dc5,"milman, henry hart, 1791-1868.","milman, henry hart",,,fazio. a tragedy. [in five acts and in verse.] [electronic resource],fazio. a tragedy,[in five acts and in verse.],,"oxford, 1815.",,oxford,1815,tragedy
014819318,lsidyv349d3efd,"mitford, mary russell.","mitford, mary russell",,,"julian, a tragedy in five acts [and in verse]. [electronic resource]","julian, a tragedy in five acts",[and in verse],,"london, 1823.",,london,1823,tragedy
014819333,lsidyv31af7dd0,,,"maurice, thomas, 1754-1824.","maurice, thomas","the fall of the mogul, a tragedy [in five acts, in verse ... with other occasional poems. by the author of indian antiquities [t. maurice]. [electronic resource]","the fall of the mogul, a tragedy","[in five acts, in verse ... with other occasional poems. by the author of indian antiquities [t. maurice]",,"london, 1806.",,london,1806,tragedy
014823158,lsidyv338edee3 -- lsidyv345aff4c,,,,,[the tragedy of nero. [in five acts and in verse.] newly written.] [electronic resource],the tragedy of nero,[in five acts and in verse.] newly written,[another edition.],"london : a. mathewes for t. jones, 1633.",a. mathewes for t. jones,london,1633,tragedy
014823517,lsidyv3b0a9abf -- lsidyv3ae4245a,"pinkerton, thomas a.","pinkerton, thomas a.",,,a new saint's tragedy. a novel. [electronic resource],a new saint's tragedy. a novel,,,"london : sonnenschein and co., 1892 [1891].",sonnenschein and co.,london,1892,tragedy
014823753,lsidyv34f67380 -- lsidyv34ecc5dd,"riethmüller, christopher james.","riethmüller, christopher james",,,"julian the apostate, a tragedy in two parts [and in verse]. [electronic resource]","julian the apostate, a tragedy in two parts",[and in verse],,"london : virtue & co., 1883.",virtue & co.,london,1883,tragedy
014823894,lsidyv3b69c042 -- lsidyv3b69b820 -- lsidyv3b69acc6,"russell, william clark.","russell, william clark",,,an ocean tragedy. [a novel.] [electronic resource],an ocean tragedy,[a novel.],,"london : chatto & windus, 1890.",chatto & windus,london,1890,tragedy
014823908,lsidyv319e261e -- lsidyv338f1fbe,"rymer, thomas, antiquary.","rymer, thomas, antiquary",,,"edgar, or the english monarch; an heroick tragedy [in five acts and in verse]. [electronic resource]","edgar, or the english monarch; an heroick tragedy",[in five acts and in verse],,"london, 1678.",,london,1678,tragedy
014824114,lsidyv3abdb105 -- lsidyv3abdaafc,"smart, hawley.","smart, hawley",,,“the plunger.” a turf tragedy of five-and-twenty years ago. [electronic resource],“the plunger.” a turf tragedy of five-and-twenty years ago,,,"london : white & co., 1891.",white & co.,london,1891,tragedy
014825796,yd.2009.a.4693,,,"a'court, william, baron heytesbury.","a'court, william","montalto; a tragedy, in five acts. with other poems. [by william a'court, baron heytesbury.] [electronic resource]","montalto; a tragedy, in five acts. with other poems","[by william a'court, baron heytesbury.]",,"london : 28. g. odell, 1840.",28. g. odell,london,1840,tragedy
014825845,lsidyv2ebb9e46,"moore, edward, of abingdon.","moore, edward",,,"the gamester. a tragedy [in five acts and in prose], etc. [electronic resource]",the gamester. a tragedy,"[in five acts and in prose], etc",,"london, 1753.",,london,1753,tragedy
014825861,lsidyv3945577f,"moore, george, fl.1795.","moore, george",,,"montbar, or the buccaneer. a tragedy [in five acts and in verse]. [electronic resource]","montbar, or the buccaneer. a tragedy",[in five acts and in verse],,"london, 1804.",,london,1804,tragedy
014825915,lsidyv2ebc568a,"more, hannah, 1745-1833","more, hannah",,,"[percy, a tragedy ... the second edition. [the dedication signed: hannah more.]] [electronic resource]","percy, a tragedy",the second edition. [the dedication signed: hannah more.]..,fourth edition.,"t. cadell : london, 1788.",,london,1788,tragedy
014826055,lsidyv345dafc6,"mountfort, william.","mountfort, william",,,"the injur'd lovers: or, the ambitious father. a tragedy, etc. [in five acts and in verse]. [electronic resource]","the injur'd lovers: or, the ambitious father. a tragedy, etc.",[in five acts and in verse],,"london, 1688.",,london,1688,tragedy
014826078,lsidyv2eb1f437,"muellner, amand gottfried adolph.","muellner, amand gottfried adolph","frye, william edward.","frye, william edward","guilt, or, the gipsey's prophecy: a tragedy [in five acts and in verse] by a. m. followed by schiller's “ideal” and “the cranes of ibycus.” translated from the ... german by w. e. frye. [electronic resource]","guilt, or, the gipsey's prophecy: a tragedy",german by w. e. frye...,,"london, 1819.",,london,1819,tragedy
014826226,lsidyv3a9aa8b4,"nabbes, thomas.","nabbes, thomas",,,hannibal and scipio. an historicall tragedy [in five acts and in verse]. [electronic resource],hannibal and scipio. an historicall tragedy,[in five acts and in verse] by a. m. followed by schiller's “ideal” and “the cranes of ibycus.” translated from the,,"london : r. oulton, for c. greene, 1637.",r. oulton for c. greene,london,1637,tragedy
014826772,lsidyv345cfa5d,"otway, thomas.","otway, thomas",,,alcibiades. a tragedy [in five acts and in verse]. [electronic resource],alcibiades. a tragedy,[in five acts and in verse],,"london : w. cademan, 1675.",w. cademan,london,1675,tragedy
014826775,lsidyv345cb97d,"otway, thomas.","otway, thomas",,,"don carlos, prince of spain, a tragedy [in five acts and in verse]. the fourth edition corrected. [electronic resource]","don carlos, prince of spain, a tragedy",[in five acts and in verse]. the fourth edition corrected,,"london : r. bentley, 1695.",r. bentley,london,1695,tragedy
014826777,lsidyv338f705e,"otway, thomas, 1652-1685.","otway, thomas",,,the history and fall of caius marius. a tragedy [in five acts and in verse]. [electronic resource],the history and fall of caius marius. a tragedy,[in five acts and in verse],,"london, 1692.",,london,1692,tragedy
014826779,lsidyv34614726,"otway, thomas, 1652-1685.","otway, thomas",,,"venice preserv'd, or, the plot discover'd. a tragedy, etc. [in five acts and in verse.] ms. note. [electronic resource]","venice preserv'd, or, the plot discover'd. a tragedy, etc.",[in five acts and in verse.] ms. note,,"london : j. hindmarsh, 1682.",j. hindmarsh,london,1682,tragedy
014826781,lsidyv345d0432,"otway, thomas.","otway, thomas","c., j.","c., j.",heroick friendship. a tragedy. by the late mr otway. [a spurious work. in verse. with a preface signed: j. c.] [electronic resource],heroick friendship. a tragedy. by the late mr otway,[a spurious work. in verse. with a preface signed: j. c.],,"london : w. mears & r. king, 1719.",w. mears & r. king,london,1719,tragedy
014826864,lsidyv349d418a,,,,,"paetus and arria; a tragedy in five acts [and in verse]. to which is prefixed a letter, addressed to t. sheridan esqre., on the present state of the english stage. [by john nicholson.] [electronic resource]",paetus and arria; a tragedy in five acts,"[and in verse]. to which is prefixed a letter, addressed to t. sheridan esqre., on the present state of the english stage. [by john nicholson.]",,"cambridge, 1809.",,cambridge,1809,tragedy
014826939,lsidyv349d43df,,,,,"panthea, queen of susia; a tragedy in five acts [and in verse, founded on the story in the cyropædia of xenophon]. [electronic resource]","panthea, queen of susia; a tragedy","in five acts [and in verse, founded on the story in the cyropædia of xenophon]",,"london, 1809.",,london,1809,tragedy
014826995,lsidyv314b8591,"parlby, brooke bridges.","parlby, brooke bridges",,,"revenge, or the novice of san martino, a tragedy [in five acts and in verse]. [electronic resource]","revenge, or the novice of san martino, a tragedy",[in five acts and in verse],,"london, 1818.",,london,1818,tragedy
014827087,lsidyv3350374e,,,"norton, richard, of southwick, hants. -- southern, thomas.","norton, richard, .  southern, thomas",pausanias the betrayer of his country. a tragedy [in five acts and in verse]. ... written by a person of quality [r. norton. edited by t. southern]. [electronic resource],pausanias the betrayer of his country. a tragedy,[in five acts and in verse]. written by a person of quality [r. norton. edited by t. southern]...,,"london, 1696.",,london,1696,tragedy
014827111,lsidyv34ec7ea8,"paynter, david william.","paynter, david william",,,"eurypilus, king of sicily: a tragedy in five acts [and in verse]. [electronic resource]","eurypilus, king of sicily: a tragedy in five acts",[and in verse],,"manchester, 1817.",,manchester,1817,tragedy
014827112,lsidyv39f22d02,"paynter, david william.","paynter, david william",,,"king stephen; or, the battle of lincoln; an historical tragedy in five acts [and in verse]. [electronic resource]","king stephen; or, the battle of lincoln; an historical tragedy in five acts",[and in verse],,"manchester, 1822.",,manchester,1822,tragedy
014827169,lsidyv34fb4b61,"pellico, silvio.","pellico, silvio","bingham, joel foote.","bingham, joel foote",francesca da rimini. a tragedy ... translated in english verse with critical preface and historical introduction by the rev. j. f. bingham. [electronic resource],francesca da rimini. a tragedy,translated in english verse with critical preface and historical introduction by the rev. j. f. bingham...,,"cambridge [mass.] : charles w. seaver, 1897.",charles w. seaver,cambridge,1897,tragedy
014827305,lsidyv31b020e3,,,,,"phaeton, or the fatal divorce, a tragedy [in five acts and in verse, by c. gildon] ... with some reflections on a book [by jeremy collier] call'd, a short view of the immorality ... of the english stage. [electronic resource]","phaeton, or the fatal divorce, a tragedy","[in five acts and in verse, by c. gildon] with some reflections on a book [by jeremy collier] call'd, a short view of the immorality...of the english stage",,"london, 1698.",,london,1698,tragedy
014827361,lsidyv3350a14c,,,"bentley, richard, son of richard bentley, d.d.","bentley, richard","philodamus, a tragedy [in five acts and in verse. by r. bentley]. [electronic resource]","philodamus, a tragedy",[in five acts and in verse. by r. bentley],,"london, 1767.",,london,1767,tragedy
014827466,lsidyv3351c9a2,"piso, gaius calpurnius, d. 65.","piso, gaius calpurnius","lee, nathaniel.","lee, nathaniel","piso's conspiracy, a tragedy [in five acts and in verse, altered from nathaniel lee's tragedy of nero, published anonymously in 1624]. [electronic resource]","piso's conspiracy, a tragedy","[in five acts and in verse, altered from nathaniel lee's tragedy of nero, published anonymously in 1624]",,"london : t. m. for w. cademan, 1676.",t. m. for w. cademan,london,1676,tragedy
014827598,lsidyv345caf82,"pompeius magnus, cneius.","pompeius magnus, cneius","corneille, pierre, 1606-1684. -- godolphin, sidney, the poet. -- sackville, charles, earl of dorset. -- sedley, charles, sir, bart. -- waller, edmund, the poet.","corneille, pierre, .  godolphin, sidney, .  sackville, charles, .  sedley, charles, bart.  waller, edmund","pompey the great, a tragedy. translated out of french [p. corneille's “mort de pompée”], by certain persons of honour [edmund waller, c. sackville, sir c. sedley and s. godolphin. in five acts and in verse]. [electronic resource]","pompey the great, a tragedy","translated out of french [p. corneille's “mort de pompée”], by certain persons of honour [edmund waller, c. sackville, sir c. sedley and s. godolphin. in five acts and in verse]",,"london, 1664.",,london,1664,tragedy
014827628,lsidyv3097b248,"porrett, robert.","porrett, robert","richardson, samuel, the novelist.","richardson, samuel","clarissa: or, the fatal seduction. a tragedy [in five acts], in prose. founded on richardson's celebrated novel of clarissa harlowe. [electronic resource]","clarissa: or, the fatal seduction. a tragedy","[in five acts], in prose. founded on richardson's celebrated novel of clarissa harlowe",,"london, 1788.",,london,1788,tragedy
014827638,lsidyv39f39ed1,"hingston, edward p. (edward peron), ca. 1823-1876","hingston,  edward peron",,,"helen porter: or, a wife's tragedy and a sister's trials. a romance. by the author of mildred winnerley,"" ""the hangman's daughter,"" &c. &c. [i.e. e. p. hingston]. [electronic resource]""","helen porter: or, a wife's tragedy and a sister's trials. a romance","by the author of mildred winnerley,"" ""the hangman's daughter,"" &c. &c. [i.e. e. p. hingston]. """,,"london : published by e. lloyd ... , [1852].",published by e. lloyd ...,london,1852,tragedy
014827648,lsidyv345b3013,"porter, thomas, dramatist.","porter, thomas",,,"the villain, a tragedy [in five acts and in verse], etc. [electronic resource]","the villain, a tragedy, etc.",[in five acts and in verse],,"london, 1663.",,london,1663,tragedy
014827681,lsidyv338f14c9,"powell, george, actor.","powell, george",,,"alphonso, king of naples, a tragedy [in five acts and in verse]. [electronic resource]","alphonso, king of naples, a tragedy",[in five acts and in verse],,"london, 1691.",,london,1691,tragedy
014827682,lsidyv345d6d75,"powell, george, actor.","powell, george",,,"[the treacherous brothers. a tragedy [in five acts, and in verse], etc.] [electronic resource]","the treacherous brothers. a tragedy, etc.","[in five acts, and in verse]",[another edition.],"london, 1696.",,london,1696,tragedy
014827709,lsidyv39ffd684,"prescott, e. livingston, pseud. [i.e. edith katharine spicer jay.]",edith katharine spicer jay,,,dearer than honour: a fool's tragedy. [electronic resource],dearer than honour: a fool's tragedy,,,"london : hutchinson & co., 1898.",hutchinson & co.,london,1898,tragedy
014827864,lsidyv3352e23d,"pye, henry james.","pye, henry james",,,"adelaide, a tragedy in five acts [and in verse]. [electronic resource]","adelaide, a tragedy in five acts",[and in verse],,"london, 1800.",,london,1800,tragedy
014828003,lsidyv3352b51b,,,"brady, nicholas, the elder.","brady, nicholas, the elder","the rape; or, the innocent impostors. a tragedy [in five acts and in verse, by n. brady]. [electronic resource]","the rape; or, the innocent impostors. a tragedy","[in five acts and in verse, by n. brady]",,"london, 1692.",,london,1692,tragedy
014828025,lsidyv3493d99e,,,"clarke, john bertridge. -- schiller, friedrich, 1759-1805","clarke, john bertridge.  schiller, friedrich","ravenna: or, italian love. a tragedy, in five acts. [in verse. based on “kabale und liebe” by j. c. f. von schiller. by john bertridge clarke? and another.] [electronic resource]","ravenna: or, italian love. a tragedy, in five acts",[in verse. based on “kabale und liebe” by j. c. f. von schiller. by john bertridge clarke? and another.],,"london : g. b. whittaker, 1824.",g. b. whittaker,london,1824,tragedy
014828030,lsidyv345cf12b,"ravenscroft, edward, dramatist.","ravenscroft, edward",,,"the italian husband. a tragedy, etc. [in three acts and in verse]. (epilogue writ by j. haynes.). [electronic resource]","the italian husband. a tragedy, etc.",[in three acts and in verse]. (epilogue writ by j. haynes.),,"london, 1698.",,london,1698,tragedy
014828038,lsidyv3350b7ba,"rawlins, thomas, dramatist.","rawlins, thomas",,,"the rebellion: a tragedy, etc. [in five acts and in verse.] [electronic resource]","the rebellion: a tragedy, etc.",[in five acts and in verse.],,"london : j. okes, for d. frere, 1640.",j. okes for d. frere,london,1640,tragedy
014828223,lsidyv3353e398,,,"caryl, john.","caryl, john","the english princess, or, the death of richard the iii. a tragedy [in five acts and in verse. by j. caryl]. [electronic resource]","the english princess, or, the death of richard the iii. a tragedy",[in five acts and in verse. by j. caryl],,"london, 1667.",,london,1667,tragedy
014828224,lsidyv33521165,,,,,"[the english princess, or, the death of richard the iii. a tragedy [in five acts and in verse. by j. caryl].] [electronic resource]","the english princess, or, the death of richard the iii. a tragedy",[in five acts and in verse. by j. caryl],[another edition.],"london, 1674.",,london,1674,tragedy
014828354,lsidyv3423f59c,,,"shirley, james, 1596-1666.","shirley, james","the traytor, a tragedy [in five acts and in verse] with alterations, amendments and additions. written by mr. rivers. [electronic resource]","the traytor, a tragedy","[in five acts and in verse] with alterations, amendments and additions. written by mr. rivers",,"london, 1692.",,london,1692,tragedy
014828438,lsidyv34af3e3f,"robinson, morris, baron rokeby.","robinson, morris",,,the fall of mortimer; a tragedy in five acts [and in verse]. [electronic resource],the fall of mortimer; a tragedy in five acts,[and in verse],,"london, 1806.",,london,1806,tragedy
014828509,lsidyv3352b37a,,,,,"the roman bride's revenge; a tragedy [in five acts and in verse, by c. gildon]. [electronic resource]",the roman bride's revenge; a tragedy,"[in five acts and in verse, by c. gildon]",,"london, 1697.",,london,1697,tragedy
014828645,lsidyv31a941b0,"rowley, william, dramatist.","rowley, william",,,"a tragedy called all's lost by lust. [in five acts, in verse and prose.] [electronic resource]",a tragedy called all's lost by lust,"[in five acts, in verse and prose.]",,"london : t. harper, 1633.",t. harper,london,1633,tragedy
014828707,lsidyv349cb67c,"russell, john russell, earl, 1792-1878","russell, john russell",,,"don carlos; or, persecution. a tragedy, in five acts [and in verse]. [electronic resource]","don carlos; or, persecution. a tragedy, in five acts",[and in verse],,"london : longman & hurst, 1822.",longman & hurst,london,1822,tragedy
014828714,lsidyv3a1c4711,"russell, percy, journalist.","russell, percy, journalist",,,"a cumberland tragedy; or, a wife's ordeal. [electronic resource]","a cumberland tragedy; or, a wife's ordeal",,,"london : mentz & co., 1896.",mentz & co.,london,1896,tragedy
014828734,lsidyv35449e98,"russell, william clark.","russell, william clark",,,"the tragedy of ida noble, etc. [a novel.] [electronic resource]","the tragedy of ida noble, etc.",[a novel.],,"london : hutchinson & co., 1893.",hutchinson & co.,london,1893,tragedy
